time_steps,avg_cost,max_avg_cost,min_avg_cost,qval_rmse
64300000.0,37.4429,60.37,15.93,
64400000.0,37.9073,58.91,5.59,
64500000.0,37.3291,61.58,21.86,
64600000.0,38.3177,59.67,13.03,
64700000.0,36.8747,61.92,13.03,
64800000.0,37.7638,61.32,17.21,
64900000.0,38.1619,87.69,8.21,
65000000.0,39.4397,67.69,7.29,
65100000.0,37.2219,67.96,14.86,
65200000.0,37.6051,60.16,9.49,
65300000.0,41.2187,85.97,8.9,
65400000.0,40.1598,92.06,13.34,
65500000.0,40.0991,90.81,17.91,
65600000.0,37.5346,90.67,6.66,
65700000.0,34.9162,60.78,6.07,
65800000.0,35.9838,58.37,1.83,
65900000.0,33.1636,56.51,16.72,
66000000.0,35.0047,57.29,8.82,
66100000.0,37.4209,57.43,15.3,
66200000.0,35.6671,58.43,15.39,
66300000.0,37.6443,60.18,13.91,
66400000.0,35.8622,60.96,13.99,
66500000.0,36.8649,63.81,14.71,
66600000.0,36.7629,61.09,4.2,
66700000.0,34.2712,60.81,10.43,
66800000.0,34.361999999999995,58.03,7.45,
66900000.0,37.2532,60.75,17.78,
67000000.0,38.7678,65.7,15.11,
67100000.0,38.4536,62.39,8.49,
67200000.0,38.1695,62.72,3.64,
67300000.0,38.872,64.85,12.8,
67400000.0,37.6281,58.62,10.74,
67500000.0,33.5823,56.71,7.31,
67600000.0,36.0119,62.92,5.21,
67700000.0,35.7918,68.83,12.92,
67800000.0,38.1624,87.48,11.21,
67900000.0,38.2829,59.96,10.24,
68000000.0,37.1468,62.0,17.95,
68100000.0,38.3941,61.05,9.76,
68200000.0,34.5389,58.27,13.72,
68300000.0,35.5722,62.41,16.33,
68400000.0,34.366,60.58,5.29,
68500000.0,39.0271,66.2,11.02,
68600000.0,38.9264,65.6,15.05,
68700000.0,37.0436,63.83,8.35,
68800000.0,44.9672,97.99,9.24,
